State,ssvf_award_total,Number of CoCs,Homeless Veterans,Sheltered Total Homeless Veterans,Unsheltered Homeless Veterans,Year,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients **,Sheltered ES Homeless Veterans,Sheltered TH Homeless Veterans,Sheltered SH Homeless Veterans
New Jersey,2817500.0,17.0,540,420,120,2013,425093.79456313,1927021.120774703,906744.0559999999,6577.6887400000005,196112.88599999997,0.0,15867.921400000003,51994.318880000006,749724.2497547031,77179,0,0,0
New Mexico,2079729.0,2.0,243,183,60,2013,170698.9570318801,1312942.6208073047,686221.789,26570.872079999997,67315.43900000001,0.0,12585.969030000002,12750.02466000001,507498.52703730465,49981,0,0,0
New York,22576698.87111111,30.0,4659,4201,458,2013,885796.2005292401,5621910.599719819,2063565.6000000003,17521.21014,493102.1739999999,0.0,120557.68295999998,94116.01891000022,2833047.913709819,231161,0,0,0
North Carolina,7335103.794444445,12.0,1123,934,189,2013,769384.0375512681,5067823.420569995,2712319.308,21237.99106,399186.381,0.0,91537.97796999999,53714.34372999975,1789827.418809995,205006,0,0,0
North Dakota,945186.0,1.0,241,60,181,2013,56213.04348645998,334755.00014589285,149595.59200000003,2623.10877,22769.528000000002,0.0,6478.66129,3770.4342025191263,149517.6758833737,18526,0,0,0
Ohio,1822827.0,9.0,1212,1050,162,2013,877894.3888576896,6643911.356881202,1837566.6989999993,34987.45756,296446.31700000004,0.0,2202389.1733699995,59095.98394000018,2213425.7260112027,223944,0,0,0
Oklahoma,996025.0,8.0,437,338,99,2013,340394.8520495217,2568389.5511292084,1544376.185,5319.53996,131029.63100000001,0.0,121588.1588,19958.158320000024,746117.8780492082,90731,0,0,0
Oregon,1875656.0,7.0,1494,709,785,2013,322355.13966701005,2283128.552251787,1100286.566,36701.906930000005,128168.78900000002,0.0,35298.18709,23227.942270000003,959445.1609617869,96190,0,0,0
Pennsylvania,512000.0,18.0,1462,1290,172,2013,953644.1253116198,4782351.480195636,2029588.7580000001,49407.44014,359064.89599999995,0.0,158258.16125,82385.53723000032,2103646.687575635,232054,0,0,0
Puerto Rico,309846.8888888889,2.0,82,40,42,2013,99928.18189044001,1387776.912441806,697878.794,7755.859960000001,46540.729,0.0,19912.33564,2495.7581262501867,613193.4357155558,58009,0,0,0
Rhode Island,1178835.0,1.0,97,95,2,2013,69206.02446047,474338.4556535299,193988.003,2867.48462,35524.527,0.0,19475.531450000002,5928.155489999997,216554.7540935299,20132,0,0,0
South Carolina,3716643.222222222,4.0,636,345,291,2013,420968.2160099299,2876324.265266717,1557784.2660000003,2556.6960400000003,223347.772,0.0,63246.23094,28310.44408999997,1001078.8561967165,123070,0,0,0
South Dakota,784465.0,1.0,125,106,19,2013,75686.75464986003,564489.3721849145,209347.403,1976.1211899999998,30364.316000000003,0.0,10391.54969,5461.222652964063,306948.75965195056,29744,0,0,0
Tennessee,3429107.222222222,10.0,991,728,263,2013,521266.61772451986,3320710.327027848,1652616.1519999995,6442.867119999999,236754.39000000007,0.0,63013.90282,33643.67615999997,1328239.3389278485,135582,0,0,0
Texas,498043.0,12.0,3878,2007,1871,2013,1667740.1865263896,12943392.602170967,6091910.090999995,30026.01108,1118113.9879999994,1385063.0051300002,220626.25539,110749.76348002373,3986903.488090948,434255,0,0,0
Utah,166620.0,3.0,327,290,37,2013,150771.02705788997,887516.4345966239,350923.49,6163.32254,85973.515,0.0,53144.80637,10032.734069999986,381278.56661662384,34062,0,0,0
Vermont,952071.0,2.0,128,111,17,2013,48812.13909731,273966.31014925067,118285.56300000001,1104.86227,20295.849,0.0,3991.57809,3339.668620000006,126948.7891692507,14925,0,0,0
Virginia,1069251.0,16.0,719,625,94,2013,840397.8580864833,4653544.74460474,2291199.6330000004,22760.6384,874229.1990000001,0.0,61129.14876000001,60779.28082999989,1343446.8446147398,142605,0,0,0
Washington,698963.0,7.0,1318,1058,260,2013,602271.66199831,3384110.454420808,1788537.4849999996,55674.47462000001,343793.104,0.0,67749.41776,41915.474030000005,1086440.4990108076,118461,0,0,0
West Virginia,2591101.4420000003,4.0,329,292,37,2013,173388.53164424075,1601256.0126271094,625689.459,6525.01876,44341.30000000002,0.0,261559.60549,9870.730659999992,653269.8987171093,58733,0,0,0
Wisconsin,3250127.5,4.0,552,528,24,2013,409419.3834759401,2421848.774961901,972510.872,12223.81568,133678.98100000003,0.0,69991.45552000002,34398.25063999998,1199045.4001219005,118371,0,0,0
Wyoming,1366620.0,1.0,137,110,27,2013,56517.730672950005,343611.0292084548,127556.50600000002,7264.3489899999995,15750.947999999999,0.0,1455.6076699999999,3130.92609,188452.6924584548,18583,0,0,0
Alaska,753636.0,2.0,178,160,18,2014,73397.08808537529,552279.9707853396,244436.55099999998,165.29978,74731.12800000001,0.0,6154.36383,3854.5601400000014,222938.0680353396,18182,119,41,0
Arizona,8197012.0,3.0,858,635,223,2014,532205.8443787772,3607036.455534007,1666170.04,15452.16593,410041.2940000001,0.0,107135.14046,33149.451167999985,1375088.3639760073,143785,244,386,5
Arkansas,1313717.0,6.0,361,220,141,2014,249274.18833236716,2143833.8408022868,1055812.7190000003,7143.02961,95186.27700000002,0.0,29630.67377,15815.518487999994,940245.6229342862,86718,117,103,0
California,38624387.0,40.0,12096,4457,7639,2014,1851469.9948234784,14318281.233434774,6376052.132999999,153524.8631,1848364.494,0.0,197939.59945,157548.67795200003,5584851.4659327725,460954,1599,2852,6
Colorado,3887306.625,3.0,753,528,225,2014,413271.3787474236,3073039.024880728,1447415.8410000005,221644.41784000004,379047.24700000003,0.0,61078.74656000001,32291.01485999998,931561.7576207276,95382,337,191,0
Connecticut,3262739.0,6.0,295,221,74,2014,213419.98756167502,1171098.7080050812,432271.273,402.67939,106708.75899999999,0.0,14238.19323,24165.932063999997,593311.8713210812,51073,73,148,0
Delaware,857393.0,1.0,93,89,4,2014,78099.1375392,398842.1214027988,199731.97499999998,693.06959,38125.990999999995,0.0,3791.6683000000003,5711.313516,150788.1039967988,15000,39,50,0
District of Columbia,1006999.0,1.0,406,375,31,2014,29825.061112990003,2703410.182073975,90386.511,257897.03611,35085.505,0.0,2091541.22001,3093.7805160000003,225406.12943797512,8598,276,99,0
Florida,20537614.0,28.0,4552,2424,2128,2014,1583696.931777147,11688201.223348211,5618726.0079999985,80833.07901,1043675.3620000001,0.0,149941.58579,132732.30001200002,4662292.888536212,493890,924,1466,34
Georgia,5662288.0,9.0,1443,647,796,2014,752882.3150736667,5398211.139072629,3004840.424,1056.21957,528777.0290000002,0.0,106880.52051999999,48835.96965600003,1707820.9763266284,189127,271,376,0
Guam,675585.0911111111,1.0,36,6,30,2014,9452.596300168601,88631.2484187813,51980.674,0.0,15388.667,0.0,0,831.526764,20430.380654781304,2584,2,4,0
Hawaii,2125224.0,2.0,593,247,346,2014,121006.6867538056,842115.4610993478,388532.222,572.63971,167447.20600000003,0.0,16592.61869,14822.239403999996,254148.53529534768,25041,60,182,5
Idaho,490142.0,2.0,215,135,80,2014,132395.0227991529,827989.5306900527,401210.80499999993,994.8370700000003,58612.38200000001,0.0,8179.98217,7587.176016000006,351404.3484340528,41266,30,105,0
Illinois,8939279.0,20.0,1234,913,321,2014,721574.9332807319,4248086.217079824,1680631.966000001,17019.43088,349069.37200000015,0.0,49986.18198999999,62952.928284,2088426.337925823,182101,317,593,3
Indiana,4526737.0,3.0,725,687,38,2014,476282.68424391415,2667904.9875878124,1239687.6709999999,1548.91697,165293.02699999997,0.0,50029.46207,24944.173739999995,1186401.7368078125,129308,252,435,0
Iowa,1922584.0,3.0,202,177,25,2014,231654.80692745076,1339350.176981305,592671.4390000002,378.92123000000004,78530.03899999996,0.0,11155.77604,18393.217787999987,638220.7839233048,72367,105,72,0
Kansas,1116861.0,5.0,393,356,37,2014,221205.81784671883,1358490.8874716072,632709.3400000001,269.66066,113361.594,0.0,25295.1002,16882.869852000007,569972.322759607,58490,104,252,0
Kentucky,2831267.0,3.0,600,558,42,2014,330599.12215540744,2425357.9226308945,1255748.134,10244.833489999999,155455.063,0.0,40024.24549,18857.78584799999,945027.8608028939,101840,255,303,0
