State,ssvf_award_total,Number of CoCs,Homeless Veterans,Sheltered Total Homeless Veterans,Unsheltered Homeless Veterans,Year,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients **,Sheltered ES Homeless Veterans,Sheltered TH Homeless Veterans,Sheltered SH Homeless Veterans
New Mexico,2079729.0,2.0,278,214,64,2015,170132.18308507258,1499349.6049887072,782081.0319999999,11496.814649999998,76754.694,0.0,13726.93753,12854.471999999996,602435.6548087072,52842,133,81,0
New York,22576698.87111111,27.0,2399,2268,131,2015,862804.9112891706,6284863.142552117,2377226.8679999993,36121.232760000006,567638.9269999998,0.0,107919.16029000001,94697.891,3101259.0635021143,227633,884,1321,63
North Carolina,7335103.794444445,12.0,1092,904,188,2015,773884.0240707524,6380720.070623307,3436153.911,12444.958299999998,474298.50100000005,0.0,95035.54724000001,58335.66599999999,2304451.4870833093,221522,464,440,0
North Dakota,945186.0,1.0,137,90,47,2015,57086.45335908419,386285.3625274657,167895.224,5151.063450000001,24961.784000000007,0.0,6291.47492,3862.843999999999,178122.97215746553,19361,52,38,0
Ohio,5134095.0,9.0,1183,1073,110,2015,848123.901167583,7699528.577471923,2192678.5670000007,24745.12636,307467.78200000006,0.0,2608850.93246,59109.51999999998,2506676.649651922,231996,505,557,11
Oklahoma,5169355.0,8.0,351,253,98,2015,335905.01131615863,3003074.0044840225,1812030.9190000002,10508.916589999999,153716.19900000005,0.0,123447.01067999999,20901.186000000005,882469.7732140237,95358,168,80,5
Oregon,5155412.0,7.0,1464,769,695,2015,326337.8385246503,2627978.87790246,1281055.3059999999,13213.24165,145921.40799999997,0.0,36758.19617,26338.747000000003,1124691.9790824598,100961,286,483,0
Pennsylvania,5786109.0,16.0,1375,1295,80,2015,916638.1720842089,5432717.647615059,2402975.4560000002,33688.33114,359206.36699999997,0.0,159980.79181,78070.66100000001,2398796.0406650607,234347,477,757,61
Puerto Rico,309846.8888888889,2.0,164,55,109,2015,90394.73624585,1602762.3766284217,784776.541,22876.07127,64137.321000000025,0.0,21447.57626,5223.580000000002,704301.2870984217,56100,13,41,1
Rhode Island,1178835.0,1.0,107,105,2,2015,69861.897904337,545538.1489301675,223371.36800000002,2427.44468,39554.798,0.0,25054.67519,6256.601,248873.26206016753,19707,35,70,0
South Carolina,3716643.222222222,4.0,681,470,211,2015,417514.75185824535,3484527.1041186857,1909397.532,8411.388149999999,267690.126,0.0,68553.75606,30328.416000000005,1200145.8859086859,132146,126,344,0
South Dakota,784465.0,1.0,177,170,7,2015,71735.74769047782,666733.13925267,236223.93699999998,15050.06266,30536.092000000004,0.0,11253.83782,4497.107999999999,369172.10177267005,30167,85,85,0
Tennessee,3429107.222222222,10.0,945,756,189,2015,503675.33432928246,3977481.0981889204,2046341.5670000003,10755.32,265298.756,0.0,64844.46794999999,33728.80499999999,1556512.1822389204,143137,335,419,2
Texas,18203392.0,11.0,2393,1490,903,2015,1675262.005496083,14812595.241924025,7447453.596000001,36772.33787999999,1376590.072,865419.0143800001,222872.4397,119106.07800000005,4744381.703964026,463875,785,686,19
Utah,840824.0,3.0,337,313,24,2015,150903.7709029351,1118885.0612283186,440335.3230000001,3463.1582399999998,127275.64599999998,0.0,59881.275219999996,12168.893000000004,475760.7657683183,36004,128,183,2
Vermont,952071.0,2.0,119,113,6,2015,47664.0130149426,324117.986168643,134177.053,8801.09209,19992.1,0.0,4085.37162,3494.021,153568.34845864295,14920,42,71,0
Virginia,4156251.0,16.0,604,513,91,2015,783108.4579510917,5424411.226861614,2775626.7630000007,15689.21237,890627.014,0.0,64952.328140000005,54280.16099999997,1623235.7483516142,152800,370,131,12
Washington,9282369.0,7.0,1293,886,407,2015,598459.9056203268,4004525.5738284774,2140766.199,50483.53128,398814.139,0.0,71630.66319,41277.82599999999,1301553.2153584782,128240,482,400,4
West Virginia,3038255.0,4.0,305,227,78,2015,165709.0544900885,1896030.8837448861,705354.935,4092.4318200000002,46197.87499999997,0.0,369208.93711999996,9374.162999999999,761802.5418048869,58450,163,64,0
Wisconsin,1026603.0,4.0,534,515,19,2015,405728.9659441298,2756149.8733761813,1118396.042,18677.513509999997,134092.42500000002,0.0,72836.53138,35051.255,1377096.1064861815,121747,175,340,0
Wyoming,1366620.0,1.0,112,83,29,2015,49837.785675721505,426957.1895988703,156163.12099999998,6034.41936,17174.056,0.0,1792.6655099999998,3027.8319999999994,242765.0957288704,19092,33,50,0
Alaska,768011.0,2.0,168,112,56,2016,68436.26373025001,639118.7512000003,280603.31299999997,498.07160000000005,76517.96,0.0,26627.274129999998,2347.2850000000003,252524.84746999998,20037,72,40,0
Arizona,8245835.470000001,3.0,1036,663,373,2016,515050.15035243996,3919748.5891499994,1833525.234,26069.1397,386087.4379999999,0.0,69949.69845000001,36076.078,1568041.0010000002,151910,268,392,3
Arkansas,1331372.0,7.0,222,159,63,2016,225117.59133219626,2215940.4417232084,1129084.1320000004,13395.87056,89670.25300000003,0.0,28243.805260000005,14433.286999999998,941113.0939032088,86483,67,92,0
California,35705821.25,43.0,9612,4012,5600,2016,1735212.597041956,15568594.922239998,7252271.470999997,171912.75477,1861299.7930000005,0.0,196187.34287,153142.88000000003,5933780.680600001,466638,1242,2740,30
Colorado,3887306.625,3.0,1181,906,275,2016,407616.0331011095,3638790.2440400003,1683271.4474999998,418850.1273900001,403465.24499999976,0.0,59848.939130000006,34534.848000000005,1038819.6370199999,104971,331,573,2
Connecticut,3327994.0,2.0,216,173,43,2016,191607.09647777397,1248954.84871,469392.847,5072.55882,117404.807,0.0,14973.21489,23099.461,619011.9600000001,50589,45,128,0
Delaware,874540.0,1.0,107,103,4,2016,72831.067739976,441478.21754000004,231633.713,3182.74843,37030.1,0.0,3083.1281099999997,5486.858,161061.67,16086,55,48,0
District of Columbia,1265661.25,1.0,350,322,28,2016,28412.82119957,2663846.6933200005,96501.814,205323.38915,33913.299,0.0,2094787.2261700002,2063.865,231257.1,8595,148,174,0
Florida,20904380.0,27.0,2902,1825,1077,2016,1559777.692368377,12738121.41782,6288592.791500003,92251.22118000001,1034447.6159999999,0.0,144211.71944000002,125545.53899999998,5053072.530699999,508768,702,1096,27
Georgia,6702055.16,9.0,1055,581,474,2016,699322.0868432283,6116766.6120200055,3528819.377000002,2088.87438,515335.6290000001,0.0,105890.17364000002,51535.369000000006,1913097.1890000005,205223,249,332,0
Guam,700000.0,1.0,21,6,15,2016,9932.6764584009,107210.06349999999,59862.0925,0.0,16957.942,0.0,0,964.359,29425.67,3084,5,1,0
Hawaii,2118174.0,2.0,670,264,406,2016,112944.38716609273,986114.172062,438960.79000000004,11580.031120000001,206427.759,0.0,16168.15031,12160.977,300816.464632,27537,102,158,4
Idaho,493795.0,2.0,267,202,65,2016,123139.6263233361,914442.2033900002,457871.0665,2730.88369,54238.52900000001,0.0,10165.4038,10741.618,378694.7024,44122,70,132,0
Illinois,8850864.61,20.0,949,713,236,2016,646939.2594223933,4438732.114199998,1847960.3895000003,7747.527700000001,340595.13200000016,0.0,45318.1271,60739.50100000002,2136371.4368999987,180538,272,418,23
Indiana,4538832.88,3.0,663,614,49,2016,418579.28478249634,2874119.5132000004,1347665.2684999995,5621.221990000001,155405.07900000003,0.0,55987.87971,23982.209999999992,1285457.854,131227,189,402,23
Iowa,2324029.0,3.0,170,154,16,2016,211548.98020168804,1381697.3446900004,628838.045,154.66360999999998,75331.25900000003,0.0,11273.83708,17735.903000000002,648363.6369999999,71449,62,92,0
Kentucky,1026748.0,3.0,512,452,60,2016,298859.56287528574,2598566.8798499983,1339620.3769999999,19407.06338,144218.801,0.0,42560.50586999999,18382.45099999999,1034377.6816,102491,159,293,0
Louisiana,5651458.28,9.0,400,363,37,2016,287373.1981792613,2590019.9089599997,1325975.3845000002,140422.79304,150363.98900000006,0.0,26253.652019999998,19718.725000000006,927285.3653999998,90774,113,225,25
Maine,1683966.0,2.0,146,125,21,2016,116782.33171074779,1019908.0965100002,569940.188,0.0,46537.049,0.0,18482.165510000003,9995.706999999999,374952.987,41276,63,62,0
Maryland,5247673.56,16.0,555,436,119,2016,399035.6221278111,2947069.6737999995,1412897.1515,9765.015519999999,373669.0679999999,0.0,23448.220780000003,31635.955999999987,1095654.2619999999,85030,157,276,3
Massachusetts,5368326.01,16.0,949,915,34,2016,336257.08392989344,2739920.31537,1236294.2774999999,11445.92857,223612.78000000003,0.0,27121.443900000006,40695.568,1200750.3174,85575,191,708,16
Michigan,8185590.08,21.0,822,758,64,2016,608270.5068951026,4004299.5495799994,2148061.3619999997,18031.9945,225016.58799999993,0.0,52800.48087999999,45514.784999999996,1514874.3392,155718,253,474,31
Minnesota,1647147.0,10.0,279,248,31,2016,337362.3642155867,2677849.1692099995,1225675.3179999997,12563.66363,138626.209,0.0,86127.77728000001,34595.56700000002,1180260.6342999996,118886,135,113,0
Mississippi,3822603.82,3.0,144,58,86,2016,193589.22323334377,1750776.2688000002,882754.5774999994,8320.121459999998,94794.82299999997,0.0,28272.05784,11985.188999999998,724649.5,68847,25,33,0
Missouri,3606140.0,8.0,575,494,81,2016,450683.51978643495,3625705.08944,1773037.8285,69195.02050000001,199816.33400000006,0.0,139055.19254,31742.762,1412857.9519,141910,196,281,17
Montana,721140.0,1.0,165,92,73,2016,92377.4789806935,779107.7074199996,353054.38249999995,1935.42206,41501.925,0.0,8505.01626,6021.023999999999,368089.9375999999,36637,47,45,0
Nebraska,531762.0,3.0,219,211,8,2016,133002.9367455074,1157482.637235,594498.4374999998,15331.52086,65805.00000000001,0.0,37189.16883,11203.585999999994,433454.9240450001,47842,95,116,0
Nevada,4604884.76,3.0,851,437,414,2016,221995.76689571803,1979112.7644100003,944686.951,14059.08089,111875.45700000001,0.0,14796.13732,13114.216999999997,880580.9211999999,74019,110,327,0
New Hampshire,1275573.45,3.0,123,119,4,2016,108118.63473699601,732415.0750199999,344687.68899999995,334.40145,59741.539000000004,0.0,6667.2385699999995,8300.556999999999,312683.65,30528,28,90,1
New Jersey,6764167.0,15.0,556,485,71,2016,371518.394082336,2240502.32105,1126819.7585,5876.56865,232159.42299999998,0.0,20108.548899999998,45143.036000000015,810394.9860000001,77244,166,316,3
New Mexico,2018673.8399999999,2.0,214,150,64,2016,161311.10225857337,1571478.7015399996,853571.699,17822.29787,77528.50100000003,0.0,13681.667670000003,13271.035999999998,595603.5,53397,74,76,0
New York,22467428.47,26.0,1248,1156,92,2016,806826.7654695673,6311501.95456,2567691.4215000006,50088.57279,593736.0599999999,0.0,102989.21297000001,82112.84000000004,2914883.8472999996,227361,393,761,2
North Carolina,6573669.58,12.0,888,730,158,2016,731377.7869807599,6833376.37098,3875722.679500001,14972.91516,500755.27900000016,0.0,92863.37831999999,57525.01399999997,2291537.1049999995,230469,324,406,0
North Dakota,902472.0,1.0,116,63,53,2016,52042.94700877831,375096.94570000016,182453.3295,6767.3362400000005,27329.737,0.0,5865.331960000001,3336.3220000000006,149344.88900000002,19273,26,37,0
Ohio,7916370.45,9.0,930,845,85,2016,796267.1668884456,8061429.560929998,2412517.5235000006,28162.13678,298251.8290000001,0.0,2799537.34965,56340.48300000001,2466620.239,237198,334,498,13
Oklahoma,4750022.57,8.0,358,260,98,2016,306074.2960633197,3209603.92941,2011045.1339999998,4137.46602,162696.37199999994,0.0,126405.41009000002,21900.000999999997,883419.5463000002,96851,178,81,1
Oregon,2423794.0,7.0,1341,603,738,2016,310332.55578447063,2738392.93309,1392001.7305000005,20773.7518,150760.946,0.0,37472.389090000004,22319.094,1115065.0217000004,103381,261,341,1
Pennsylvania,13661671.03,16.0,1136,1088,48,2016,845506.9249248779,5480864.013049998,2612747.4444999984,31812.98276,374605.0140000001,0.0,155303.31579000002,73032.686,2233362.5700000008,233995,339,741,8
Puerto Rico,291180.0,2.0,146,37,109,2016,82573.63955781,1650530.9468499997,852319.9645000002,28711.015809999997,63107.78500000001,0.0,21109.18384,4269.066000000001,681013.9317,55840,13,24,0
Rhode Island,1178835.0,1.0,89,89,0,2016,65470.204247104004,549504.3403100001,242772.8715,1761.54412,44164.028999999995,0.0,25823.294690000002,5753.751,229228.85,19649,20,69,0
South Carolina,2000000.0,4.0,738,452,286,2016,403947.8703013925,3691073.14958,2122970.4725,8876.57317,272106.99,0.0,70372.14991000001,29372.424000000003,1187374.54,134702,147,304,1
South Dakota,761436.0,1.0,120,109,11,2016,65892.93397460668,642874.70074,258293.33399999997,14267.26035,30156.737000000005,0.0,10231.22029,4806.915,325119.2341,30120,24,85,0
Tennessee,3343381.0,10.0,831,654,177,2016,474686.3233141889,4208540.959360001,2292295.1139999996,13910.23302,279651.02199999994,0.0,68145.93134000001,29795.43400000001,1524743.2250000003,146894,286,367,1
Texas,15493940.89,11.0,1768,1285,483,2016,1594563.9688835444,16117918.145051995,8433064.225499999,37785.967260000005,1463403.1809999987,1126987.1611499998,225121.97588,116304.40800000007,4715251.226261999,479814,647,618,20
Utah,1013808.0,3.0,335,311,24,2016,135987.95052154883,1133563.2068399999,499178.4620000002,1942.08985,109635.713,0.0,64748.86099,10435.829,447622.252,36368,114,197,0
Vermont,952071.0,2.0,110,97,13,2016,44270.667906826806,331098.2105,145688.6855,1349.97248,22324.028,0.0,4030.48142,4089.2400000000002,153615.80310000002,15047,22,75,0
Virginia,3887292.0,16.0,515,439,76,2016,729398.3323016283,5815406.723149997,3154781.5009999997,15631.65982,901840.3200000002,0.0,63621.80563,51249.435,1628282.0017,156857,305,132,2
Washington,5605718.76,7.0,1484,999,485,2016,567798.8370216248,4190746.75755,2351433.972,75848.46461,405935.22,0.0,70937.05664,38683.282,1247908.7622999998,131806,548,449,2
West Virginia,2616015.42,4.0,143,126,17,2016,145309.4573370142,1949038.196659999,763343.4270000001,11198.047600000002,51058.41000000001,0.0,394943.3500600001,9278.555999999999,719216.4059999998,58289,68,57,1
Wisconsin,3160502.0,4.0,415,392,23,2016,373605.87418118765,2788010.2358399993,1217551.7159999998,20754.44569,140154.799,0.0,69140.59815,33344.746,1307063.931,123267,107,285,0
Wyoming,1366620.0,1.0,87,56,31,2016,47471.9239168305,414358.07120999997,173669.4075,3975.0463799999998,19742.672000000002,0.0,1707.7439299999996,2644.8120000000004,212618.38940000004,18896,36,20,0
Alaska,775691.0,2.0,124,95,29,2017,68718.78413549719,692369.171143008,281732.64960000006,51.07522,69530.98031000003,0.0,28269.431829999998,2425.8159999999993,310359.2181830079,20119,70,25,0
Arizona,8266539.0,3.0,970,641,329,2017,507706.2634582611,4094392.811976893,1829391.57402,15765.89521,350849.3812099999,0.0,75132.72832,38232.082,1785021.1512168935,154644,268,372,1
Arkansas,1344685.0,6.0,239,130,109,2017,222286.17549969495,2224769.7707529403,1101328.8788999994,13413.21452,81816.64141,0.0,28712.354809999997,13615.783000000005,985882.8981129396,85731,85,45,0
California,35803086.0,43.0,11436,3815,7621,2017,1681729.989888273,15979540.043121044,7271510.740980002,152847.11032,1792236.9414999997,0.0,200546.88785,166982.42799999996,6395415.934471048,465607,1568,2210,37
Colorado,3887306.625,3.0,1078,743,335,2017,403327.0677070816,3611823.71953818,1683948.4459800003,238999.07372999997,408394.04435999994,0.0,61528.39156000001,35932.01,1183021.7539081806,107367,370,371,2
Connecticut,3361233.0,2.0,191,177,14,2017,184301.78289486803,1294090.441097947,466340.96142,4686.82379,119356.24086999998,0.0,16292.819320000002,24738.612999999998,662674.9826979473,50552,34,143,0
Delaware,883285.0,1.0,91,85,6,2017,71845.020554066,475088.14798218646,235293.89580000003,1459.09381,35948.3358,0.0,3613.23922,5770.054,193003.52935218642,16367,36,49,0
District of Columbia,1265661.25,1.0,285,250,35,2017,27874.7201359,3526383.8053363385,95075.26691999998,220999.22782,29687.91894000001,0.0,2984765.3415300013,2531.901,193324.14912633714,8261,81,169,0
Florida,20396653.0,27.0,2817,1821,996,2017,1525399.5760096235,13406123.901792292,6371816.320920002,57521.8791,988716.7630399999,0.0,145492.57217,132806.07899999997,5709770.287562293,516132,720,1066,35
Georgia,6716974.0,9.0,712,466,246,2017,697127.1265023872,6441820.21095952,3636448.566060002,15530.236740000002,488560.9369299999,0.0,100618.85089999999,54084.76200000003,2146576.8583295173,212347,177,289,0
Guam,706971.0,1.0,24,4,20,2017,10025.8004637204,109408.76798399509,59576.24772000001,0.0,15096.291389999997,0.0,0,687.722,34048.50687399509,2935,4,0,0
Hawaii,2113901.0,2.0,615,237,378,2017,112304.4790099471,1013846.3480613155,439159.26498000004,14146.16687,193663.26643999992,0.0,16459.65241,14677.073,335740.92436131556,27437,106,128,3
Idaho,498733.0,2.0,228,159,69,2017,122067.20816173036,998236.3786285,469437.7416,2902.2117200000002,55479.73781999998,0.0,10604.192210000001,8870.033999999998,450942.4612784997,44935,73,86,0
Illinois,8105361.0,20.0,864,575,289,2017,628254.2320192045,4588188.390136217,1851672.9691199998,2672.44071,309194.2880600001,0.0,45122.40622,63081.33199999996,2316444.954026219,178216,202,357,16
Indiana,4555698.0,2.0,615,569,46,2017,409835.5119822264,2958929.3716107737,1337063.4759,1263.23369,140443.66547999997,0.0,58714.04987,27235.98899999999,1394208.9576707722,131193,186,358,25
Iowa,2347269.0,3.0,171,153,18,2017,206430.3923854005,1448876.4656176032,625383.8004599999,-12.610520000000001,71711.38802000001,0.0,12452.669509999998,17305.259,722035.959147603,71184,77,76,0
Kentucky,1037015.0,3.0,489,445,44,2017,295390.41303336504,2624525.991206374,1300429.2109799995,5304.84477,135466.82730999996,0.0,46691.31631,19531.463000000003,1117102.3288363747,102170,156,289,0
Louisiana,5701387.0,8.0,383,329,54,2017,284074.2308402998,2661854.9432148403,1296849.4454999997,134426.07976,134652.87993999998,0.0,26760.73773,21774.367000000002,1047391.4332848394,89483,70,240,19
Maine,2100806.0,1.0,131,120,11,2017,114020.2430561633,1062791.020340459,560853.6096,948.7729300000001,43014.54620999999,0.0,19640.51009,9112.074,429221.507510459,41760,53,66,1
Maryland,5300151.0,16.0,536,440,96,2017,389640.4987683071,3007129.160092418,1442827.0209000001,5865.502189999999,350962.8537500001,0.0,27055.25572,33837.117,1146581.410532417,83074,185,249,6
Massachusetts,5109285.0,15.0,853,808,45,2017,323253.31087718526,2850782.8628535923,1224060.51048,14574.91591,236060.25050999998,0.0,26095.626430000004,42487.04000000001,1307504.5195235922,86647,176,613,19
Michigan,8087552.0,21.0,773,713,60,2017,589326.2275377378,4087747.930620038,2124528.11094,16250.857930000002,217026.64279,0.0,54255.804000000004,45693.50299999999,1629993.0119600384,157204,247,441,25
Minnesota,1663618.0,10.0,281,244,37,2017,327628.9663223003,2766903.5227435767,1193129.7153,3909.10585,125375.48663000004,0.0,92926.26800999999,35328.43199999999,1316234.5149535765,118775,154,90,0
Mississippi,3585302.0,3.0,57,39,18,2017,191410.51752484712,1814225.7724233496,880954.6057200001,15047.686899999999,88460.06471,0.0,28714.79798,14017.970000000003,787030.647113349,68491,11,28,0
Missouri,3642200.0,8.0,538,449,89,2017,442579.1884247219,3720061.980848587,1743612.2454,61763.8743,184961.27228,0.0,130159.47932,31958.65200000001,1567606.4575485871,142163,192,248,9
Montana,793652.8,1.0,205,125,80,2017,91336.12619446452,787579.3427980652,343463.8044,356.53179,43853.75431999999,0.0,10266.85563,7189.907999999998,382448.48865806527,36324,67,58,0
Nebraska,1442398.0,3.0,174,172,2,2017,130125.91960938634,1210793.2690376614,582541.9848600002,16998.76708,61912.09396999999,0.0,40735.01856999999,12314.447999999995,496290.9565576616,48179,90,82,0
Nevada,4650743.0,3.0,832,492,340,2017,218405.7414874662,2062288.1405098857,964138.1750999999,14398.236410000001,109068.57024999995,0.0,16479.84512,13939.21,944264.1036298862,75437,166,326,0
New Hampshire,1286558.0,3.0,124,113,11,2017,105390.116800813,763529.7116187166,342423.34421999997,909.9444,58206.369020000006,0.0,6814.873350000001,9461.798000000003,345713.3826287166,30915,28,84,1
New Jersey,6811043.0,16.0,583,494,89,2017,355765.86173042894,2268206.63309519,1116149.0311200002,2242.42127,228102.678,0.0,19808.20676,47330.38799999999,854573.9079451899,77152,164,330,0
New Mexico,2038861.8399999999,2.0,248,135,113,2017,158993.7370525449,1597862.138077753,835878.5515200002,6145.794,72548.35543,0.0,15206.37094,12527.779,655555.2871877527,52929,65,70,0
New York,22676173.0,26.0,1244,1186,58,2017,776522.3833353944,6359408.005963557,2535864.742079999,63280.416919999996,550376.6885599997,0.0,101869.92605000001,87286.59999999999,3020729.6323535563,224459,608,524,54
North Carolina,6619356.0,12.0,931,732,199,2017,730357.4787713235,7153003.299363949,3961193.2866,30313.011940000004,478025.03069999994,0.0,96636.91106,62837.65800000001,2523997.401063948,236502,330,402,0
North Dakota,911497.0,1.0,74,58,16,2017,51677.257719009984,405950.315087752,180069.31182,6717.609710000001,25589.607829999994,0.0,5950.92518,3775.1420000000003,183847.71854775198,19306,18,40,0
Ohio,7688419.0,9.0,862,785,77,2017,774934.5987466834,8652675.304102974,2417453.7744000005,28046.09781,286436.7261800001,0.0,3166039.3742299993,58043.71600000002,2696655.6154829734,238817,319,456,10
Oklahoma,4729637.0,8.0,349,235,114,2017,303204.7508081623,3281757.9249323895,1974309.4673400007,3499.87299,151784.63678999993,0.0,132878.82284,20658.213,998626.9119723904,96914,154,79,2
Oregon,2448032.0,7.0,1251,583,668,2017,303689.1116817208,2842535.2176634367,1359451.2304800001,27519.29822,152921.76682000005,0.0,38092.399040000004,23313.296999999995,1241237.2261034371,102828,274,309,0
Pennsylvania,13797708.0,16.0,963,875,88,2017,819184.510449961,5663673.669515447,2601687.3055800004,25500.73442,353659.2219200001,0.0,158656.33058,76410.642,2447759.4350154437,232509,273,587,15
Puerto Rico,294092.0,2.0,94,30,64,2017,79322.15068091,1613330.0851835187,839986.2659399996,23863.06383,58359.0994,0.0,24161.28223,3648.9270000000006,663311.4467835181,54248,5,25,0
Rhode Island,1178835.0,1.0,95,92,3,2017,63250.36883798901,575316.3583847696,235520.44086000003,8945.29861,43101.851060000015,0.0,28918.988839999998,5562.514000000001,253267.26501476957,19659,31,61,0
South Carolina,2020000.0,4.0,480,321,159,2017,402596.466678401,3828891.12856159,2158684.33788,7410.93212,259649.83667999998,0.0,76721.84408,30371.820000000003,1296052.3578015896,137229,108,212,1
South Dakota,769050.0,1.0,130,123,7,2017,65335.38838408639,680744.355786992,253309.95893999995,11328.661240000001,29310.947839999997,0.0,10515.128560000001,5319.930999999997,370959.72820699203,29970,48,75,0
Tennessee,3376815.0,10.0,757,615,142,2017,470389.8798607298,4420981.008014839,2300995.8292799992,16150.809870000001,268344.73917,0.0,74507.63935,28610.74,1732371.250344839,150106,291,324,0
Texas,15023131.0,11.0,2200,1379,821,2017,1584844.1558890804,16874116.094975863,8581720.202580005,51948.023949999995,1419849.1264200006,1170406.0745299999,237477.41624999995,121483.41399999998,5291231.837245842,489510,803,562,14
Utah,1023946.0,3.0,220,203,17,2017,134312.7622222833,1186425.9151814852,502595.48034,8051.17475,98932.56979999998,0.0,73648.03795,11841.083999999999,491357.5683414851,36743,83,120,0
Vermont,952071.0,2.0,94,89,5,2017,43190.9103760861,332092.82052368036,144481.33127999998,23.90185,20906.48275,0.0,3923.2186,3944.6749999999997,158813.21104368032,14992,22,67,0
Virginia,3923214.0,16.0,478,384,94,2017,725028.299221603,5946630.84089415,3200433.9202799997,28847.10034,817753.5927699998,0.0,67576.20713,56698.504000000015,1775321.5163741512,160704,265,116,3
Washington,5648615.0,7.0,2093,1094,999,2017,560199.7958046085,4317006.318731284,2321740.67088,52980.81075999999,411192.69224,0.0,74754.67536000001,43974.55100000001,1412362.9184912841,134681,548,546,0
West Virginia,2632449.0,4.0,137,124,13,2017,142694.4189161144,1955283.7653905544,746902.3970400002,4626.86271,47821.49470000002,0.0,369056.34369,10828.617000000006,776048.0502505547,57874,76,46,2
Wisconsin,3192107.0,4.0,329,309,20,2017,363898.1354910607,2866806.3039427144,1202792.2732199999,11322.467020000002,129167.15358000003,0.0,72644.71476999999,33906.488999999994,1416973.2063527147,123422,90,212,7
Wyoming,1366620.0,1.0,63,50,13,2017,47220.319869785795,449086.68325263966,173021.23217999996,4782.20335,19059.069249999997,0.0,1843.1184599999997,3301.7460000000005,247079.3140126397,18851,35,15,0
Alaska,775691.0,2.0,132,110,22,2018,68847.1322477925,724070.1798343986,282164.1880000001,4.17137,73986.096,0.0,30946.8754,2724.1189999999992,334244.73006439843,20831,87,23,0
Arizona,8173034.6899999995,3.0,893,540,353,2018,500133.35544282966,4105002.9039959866,1834997.3919999998,19862.26353,351748.92199999996,0.0,78357.22717,32619.472999999998,1787417.6262959866,159301,217,295,28
Arkansas,904775.0,7.0,251,150,101,2018,219333.61944828552,2219193.1156971734,1070595.4119999995,5582.81166,73588.90100000003,0.0,29050.730959999997,12262.169000000002,1028113.0910771723,84962,81,69,0
California,50032906.49,43.0,10836,3622,7214,2018,1629238.3931687057,16039128.65864117,7157234.11,194672.27628,1830349.3119999995,0.0,206978.8523,145030.47400000002,6504863.634061165,466704,1486,2000,136
Colorado,5581890.0,3.0,1073,657,416,2018,398782.99117110623,3582328.797204834,1662319.8699999992,154830.26687,432114.14,0.0,55798.48840999999,30207.02,1247059.0119248347,109626,468,187,2
Connecticut,3361233.0,2.0,190,177,13,2018,177234.54722315198,1307341.781853137,459251.44399999996,2541.85623,123703.72299999998,0.0,16451.889730000003,21173.448999999997,684219.4198931372,50397,38,139,0
Delaware,883285.0,1.0,70,67,3,2018,70798.361909119,476658.1033001062,235253.27699999997,601.3588000000001,36642.644,0.0,3513.1532,5138.429,195509.2413001062,16905,46,17,4
District of Columbia,1265661.25,1.0,306,246,60,2018,27356.294102822496,3836010.3737328015,92178.227,165038.59529000003,29067.974,0.0,3235390.0756799993,2356.336,311979.16576280195,8081,119,127,0
Florida,23006531.53,27.0,2543,1582,961,2018,1491069.7243807062,13267458.463093678,6342478.84,55579.37171000001,1007883.068,0.0,141238.22537,114061.11899999998,5606217.839013678,524206,591,959,32
Georgia,9712974.05,9.0,705,429,276,2018,694168.4585386689,6401768.257299574,3638051.5130000003,19122.162360000002,486659.0420000005,0.0,101274.34318999999,47387.36799999999,2109273.82874957,218156,194,235,0
Guam,695293.82,1.0,14,4,10,2018,10107.7803711276,112379.84187544102,59082.259,0.0,16463.685,0.0,0,454.166,36379.73187544102,3038,4,0,0
Hawaii,3107120.0,2.0,532,240,292,2018,111459.31885178419,996545.6636557762,436248.00299999997,2184.92526,180142.455,0.0,17151.00833,12379.971,348439.30106577615,28118,127,113,0
Idaho,478054.95,2.0,215,146,69,2018,120903.14043089919,1039772.3668268906,473760.0980000001,7394.13703,54847.732,0.0,11460.44716,7201.049999999999,485108.90263689024,46683,74,72,0
Illinois,8104916.18,20.0,804,574,230,2018,609881.0856590716,4583447.171756085,1826990.9470000002,3449.23315,291775.9319999999,0.0,42121.57283999999,55515.954999999994,2363593.531766087,177919,341,207,26
Indiana,4544272.41,2.0,539,491,48,2018,401069.980662779,2915742.737338715,1303584.8110000005,1535.5160799999999,132183.62100000004,0.0,61692.29413,23935.425999999996,1392811.0691287138,130750,214,252,25
Iowa,2347269.0,3.0,196,177,19,2018,201353.19157853565,1444373.4427179669,604894.5690000003,173.29584,63592.81700000002,0.0,13551.95138,16628.183000000005,745532.6264979674,70259,86,68,23
Kentucky,1837015.0,3.0,369,308,61,2018,291660.32272540184,2549801.0084243445,1231815.610999999,14654.05581,128077.81799999994,0.0,47672.675339999994,16836.982999999997,1110743.8652743443,102245,118,190,0
Louisiana,5701018.52,7.0,406,362,44,2018,280549.074216293,2628032.9580205046,1270593.6749999996,37414.661329999995,130704.25499999996,0.0,26378.539289999997,17907.002000000004,1145034.825400505,89960,110,227,25
